epoch,seg_G_GAN,seg_G_L1,seg_D_real,seg_D_fake,det_G_GAN,det_G_L1,det_D_real,det_D_fake
1,1.1304320096969604,18.011974334716797,1.1395549774169922,0.2718980014324188,2.6507210731506348,8.81014633178711,0.10576415807008743,0.28879204392433167
2,1.0601484775543213,8.205740928649902,0.5558753609657288,0.6857717037200928,4.140324115753174,5.110414505004883,0.1030835434794426,0.014271112158894539
3,1.2651097774505615,4.81736421585083,0.4312498867511749,0.6208671927452087,1.5021204948425293,4.079845428466797,0.0496436282992363,0.6834235787391663
4,0.9806713461875916,22.133350372314453,0.252224862575531,1.5115337371826172,2.009209156036377,5.010604381561279,0.09606106579303741,0.3420467674732208
5,0.7419376373291016,4.23718786239624,0.7913395166397095,0.42667582631111145,0.5528483986854553,3.788004159927368,0.8667376041412354,0.2526349723339081
6,0.6054723858833313,1.268018364906311,1.108070969581604,0.3333108425140381,0.695020318031311,3.0315327644348145,0.48941630125045776,0.6361584663391113
7,0.9149937629699707,2.3838305473327637,1.2662098407745361,0.4822924733161926,1.043360710144043,3.076124668121338,0.3891437351703644,0.7436034083366394
8,0.5262181162834167,1.9994090795516968,1.1769880056381226,0.4234340786933899,1.5382227897644043,3.2343382835388184,0.09222190082073212,0.34872516989707947
9,3.889394998550415,2.4550225734710693,0.01261021476238966,0.022013721987605095,1.5625741481781006,4.339432239532471,0.2131226360797882,0.4450858235359192
10,0.7307459712028503,0.9054869413375854,0.6562472581863403,0.7901156544685364,1.282224416732788,3.366128444671631,1.2536953687667847,0.2133495956659317
11,2.936534881591797,3.6196157932281494,0.0023960573598742485,0.07919824868440628,1.282641053199768,4.260598659515381,0.1122964546084404,0.8283278942108154
12,4.626500606536865,3.0092568397521973,0.001771024544723332,0.011180708184838295,1.1090198755264282,1.9653100967407227,0.2625269293785095,0.9544836282730103
13,0.6969015002250671,1.221506118774414,0.6735060214996338,0.7040680646896362,1.1955392360687256,4.429080486297607,0.40516018867492676,0.9533318281173706
14,0.6176534295082092,0.8378095626831055,0.5535536408424377,0.8335840106010437,1.1292368173599243,4.549102306365967,0.503710150718689,0.9958932995796204
15,0.7172192931175232,2.009669780731201,0.6881555318832397,0.6727118492126465,1.0217556953430176,1.5318626165390015,0.3700730502605438,0.8412365913391113
16,0.8052839636802673,1.8329998254776,0.7718594670295715,0.5393045544624329,0.9022334814071655,3.142782211303711,0.5230107307434082,0.4954802691936493
17,0.7963390350341797,0.538184404373169,0.9577161073684692,0.4556378424167633,1.0900505781173706,3.324323892593384,0.12627346813678741,1.1045440435409546
18,1.1369190216064453,1.1825064420700073,0.49362167716026306,0.8269774913787842,0.7371142506599426,3.0537147521972656,0.944153368473053,0.4493010938167572
19,0.6823955178260803,1.765135645866394,0.5803419351577759,0.7586437463760376,1.2798075675964355,3.221951484680176,0.7075342535972595,0.30102241039276123
20,0.7112775444984436,1.391277551651001,0.7399272918701172,0.6512491703033447,1.1269975900650024,1.3155606985092163,1.1224416494369507,0.29600706696510315
21,0.7418042421340942,2.5405850410461426,0.7237919569015503,0.6794365644454956,1.2377103567123413,3.6191210746765137,0.5526859760284424,0.3952110707759857
22,1.3005558252334595,0.764785647392273,0.6356814503669739,0.628077507019043,0.6362672448158264,3.63432240486145,1.484790325164795,0.19268956780433655
