epoch,seg_G_GAN,seg_G_L1,seg_D_real,seg_D_fake,det_G_GAN,det_G_L1,det_D_real,det_D_fake
1,0.31688857078552246,17.959531784057617,0.23045653104782104,0.39179036021232605,0.6880944967269897,7.498122692108154,0.4229288101196289,0.16540595889091492
2,0.27839982509613037,5.060640811920166,0.31468555331230164,0.2817474901676178,0.7697610259056091,7.030246257781982,0.10043412446975708,0.15413381159305573
3,0.27870649099349976,2.5635266304016113,0.26552680134773254,0.2853991389274597,0.7708057761192322,6.86883020401001,0.11165931820869446,0.09124517440795898
4,0.2650586664676666,2.161817789077759,0.3129304051399231,0.28380897641181946,0.948424756526947,5.538421154022217,0.16893045604228973,0.14670085906982422
5,0.2222737967967987,2.0584793090820312,0.28309333324432373,0.37679824233055115,0.6365693211555481,5.3393449783325195,0.07753820717334747,0.039689864963293076
6,0.2363288700580597,2.494192600250244,0.26777610182762146,0.26242753863334656,0.6229392290115356,3.4768314361572266,0.3640304207801819,0.07723180949687958
7,0.3038119971752167,4.778412818908691,0.20617763698101044,0.2968617379665375,0.4421306252479553,3.8509480953216553,0.037792790681123734,0.4318731725215912
8,0.24922674894332886,6.399811267852783,0.24015040695667267,0.29119718074798584,0.20700110495090485,1.2582920789718628,0.4187038838863373,0.16830283403396606
9,0.28902676701545715,1.2960487604141235,0.30200648307800293,0.20244856178760529,1.0979963541030884,4.942780494689941,0.15988057851791382,0.03434191271662712
10,0.7171453237533569,2.7212777137756348,0.15771396458148956,0.27819064259529114,0.2696220278739929,3.259441614151001,0.10268517583608627,0.2389100193977356
11,0.25306758284568787,1.5330220460891724,0.23385842144489288,0.27893900871276855,0.7857916951179504,3.3018875122070312,0.024830343201756477,0.7737939357757568
12,0.24664299190044403,0.9045781493186951,0.24881459772586823,0.25856494903564453,0.6295290589332581,5.2491254806518555,0.4339956045150757,0.06976209580898285
13,0.30034735798835754,2.1172051429748535,0.3567349910736084,0.22002005577087402,0.29924216866493225,4.776427268981934,0.3288358151912689,0.06084635108709335
14,0.2699602246284485,0.9257246851921082,0.20361217856407166,0.31656304001808167,0.5354897379875183,1.0808762311935425,0.03747638314962387,0.24747347831726074
15,0.2900705933570862,1.0027892589569092,0.18674369156360626,0.337397962808609,0.18342222273349762,1.0961298942565918,0.9954010248184204,0.03375566005706787
16,0.3833995461463928,1.0759661197662354,0.17523495852947235,0.17960841953754425,0.28463324904441833,2.7617604732513428,0.297273725271225,0.07083500176668167
17,0.2573823034763336,0.855472981929779,0.4245646893978119,0.11143562942743301,0.6404806971549988,5.573519229888916,0.051551952958106995,0.33424681425094604
18,2.433061361312866,2.589221715927124,1.3604848384857178,1.962045669555664,0.24205732345581055,0.9041634202003479,0.7211262583732605,0.05402835085988045
19,0.7667698860168457,2.4608359336853027,0.06943316012620926,0.024838171899318695,0.32686352729797363,0.9793063402175903,0.58332759141922,0.05845189839601517
20,0.8458591103553772,2.4066720008850098,0.01687958464026451,0.03504675626754761,0.5687760710716248,3.6526217460632324,0.16995830833911896,0.2767883539199829
21,0.2685835659503937,0.822335958480835,0.30098557472229004,0.21582292020320892,0.20789580047130585,1.791555643081665,0.14223529398441315,0.3478921949863434
22,0.2538033127784729,1.4471184015274048,0.25680971145629883,0.25731706619262695,0.405099093914032,3.4139328002929688,0.20539847016334534,0.19720931351184845
23,0.24028553068637848,0.8415272235870361,0.45304688811302185,0.290420800447464,0.2892428934574127,2.3882343769073486,0.28630343079566956,0.13239723443984985
24,0.2662847638130188,1.064031720161438,0.28204792737960815,0.22355765104293823,0.259758859872818,2.122082471847534,0.2793723940849304,0.2172643542289734
25,0.616435706615448,0.5530462265014648,0.5774089694023132,0.30131062865257263,0.1479734182357788,1.9805033206939697,0.6273773312568665,0.014905565418303013
26,0.2535555064678192,1.0901918411254883,0.24796611070632935,0.2586766183376312,0.48467040061950684,2.9982402324676514,0.30806073546409607,0.05341411754488945
27,1.2125873565673828,2.262460708618164,0.01930701732635498,0.03302501142024994,0.3005295693874359,3.207402229309082,0.10344362258911133,0.2118767499923706
